wavelength,B_442,B_492,B_559,B_665,B_704,B_739,B_780,B_835,B_864,B_943,B_1375,B_1611,B_2184
722.0,,,,,,,,,,,,,
723.0,,,,,,,,,,,,,
724.0,,,,,,,,,,,,,
725.0,,,,,,,,,,,,,
726.0,,,,,,,,,,,,,
727.0,,,,,,,,,,,,,
728.0,,,,,,,,,,,,,
729.0,,,,,,,,,,,,,
730.0,,,,,,0.0174338,,,,,,,
731.0,,,,,,0.105813,,,,,,,
732.0,,,,,,0.386051,,,,,,,
733.0,,,,,,0.782313,,,,,,,
734.0,,,,,,0.905953,,,,,,,
735.0,,,,,,0.916417,,,,,,,
736.0,,,,,,0.923334,,,,,,,
737.0,,,,,,0.932013,,,,,,,
738.0,,,,,,0.94755,,,,,,,
739.0,,,,,,0.96584,,,,,,,
740.0,,,,,,0.978553,,,,,,,
741.0,,,,,,0.99132,,,,,,,
742.0,,,,,,1.0,,,,,,,
743.0,,,,,,0.999956,,,,,,,
744.0,,,,,,0.971267,,,,,,,
745.0,,,,,,0.819175,,,,,,,
746.0,,,,,,0.467396,,,,,,,
747.0,,,,,,0.0941209,,,,,,,
748.0,,,,,,0.00983401,,,,,,,
749.0,,,,,,,,,,,,,
750.0,,,,,,,,,,,,,
751.0,,,,,,,,,,,,,
752.0,,,,,,,,,,,,,
753.0,,,,,,,,,,,,,
754.0,,,,,,,,,,,,,
755.0,,,,,,,,,,,,,
756.0,,,,,,,,,,,,,
757.0,,,,,,,,,,,,,
758.0,,,,,,,,,,,,,
759.0,,,,,,,,,,,,,
760.0,,,,,,,,,,,,,
761.0,,,,,,,,,,,,,
762.0,,,,,,,,,,,,,
763.0,,,,,,,,,,,,,
764.0,,,,,,,,,,,,,
765.0,,,,,,,,,,,,,
766.0,,,,,,,0.010282,,,,,,
767.0,,,,,,,0.0374277,,,,,,
768.0,,,,,,,0.112027,,,,,,
769.0,,,,,,,0.257954,,,,,,
770.0,,,,,,,0.478981,,,,,,
771.0,,,,,,,0.730217,,,,,,
772.0,,,,,,,0.91251,,,,,,
773.0,,,,,,,0.971721,,,,,,
774.0,,,,,,,0.964616,0.000386696,,,,,
775.0,,,,,,,0.955735,0.0030184,,,,,
776.0,,,,,,,0.964926,0.0166916,,,,,
777.0,,,,,,,0.986223,0.0283405,,,,,
